"panel","run_id","case","seed","alpha","sigma2","sigma1","rho","n_steps","terminal"
"development","production__R12__rep01__n10000000__T50",10100,110012001,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep02__n10000000__T50",10101,110012002,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep03__n10000000__T50",10102,110012003,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep04__n10000000__T50",10103,110012004,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep05__n10000000__T50",10104,110012005,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep06__n10000000__T50",10105,110012006,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep07__n10000000__T50",10106,110012007,1.08,1.3,1,1.7,10000000,50
"development","production__R12__rep08__n10000000__T50",10107,110012008,1.08,1.3,1,1.7,10000000,50
"untouched","production__R12__rep09__n10000000__T50",10108,120012001,1.08,1.3,1,1.7,10000000,50
"development","infill__R01__rep01__n1000000__T50",10109,210001001,1.25,1,1.2,1.45,1000000,50
"development","infill__R01__rep02__n1000000__T50",10110,210001002,1.25,1,1.2,1.45,1000000,50
"development","infill__R01__rep03__n1000000__T50",10111,210001003,1.25,1,1.2,1.45,1000000,50
"development","infill__R02__rep01__n1000000__T50",10112,210002001,1.45,0.6,1.6,0.9,1000000,50
"development","infill__R02__rep02__n1000000__T50",10113,210002002,1.45,0.6,1.6,0.9,1000000,50
"development","infill__R02__rep03__n1000000__T50",10114,210002003,1.45,0.6,1.6,0.9,1000000,50
"development","infill__R03__rep01__n1000000__T50",10115,210003001,1.55,1.4,0.7,2.2,1000000,50
"development","infill__R03__rep02__n1000000__T50",10116,210003002,1.55,1.4,0.7,2.2,1000000,50
"development","infill__R03__rep03__n1000000__T50",10117,210003003,1.55,1.4,0.7,2.2,1000000,50
"development","infill__R04__rep01__n1000000__T50",10118,210004001,1.15,1.3,1.5,1.1,1000000,50
"development","infill__R04__rep02__n1000000__T50",10119,210004002,1.15,1.3,1.5,1.1,1000000,50
"development","infill__R04__rep03__n1000000__T50",10120,210004003,1.15,1.3,1.5,1.1,1000000,50
"development","infill__R05__rep01__n1000000__T50",10121,210005001,1.4,0.7,1.3,1,1000000,50
"development","infill__R05__rep02__n1000000__T50",10122,210005002,1.4,0.7,1.3,1,1000000,50
"development","infill__R05__rep03__n1000000__T50",10123,210005003,1.4,0.7,1.3,1,1000000,50
"development","infill__R06__rep01__n1000000__T50",10124,210006001,1.1,0.8,0.8,1.8,1000000,50
"development","infill__R06__rep02__n1000000__T50",10125,210006002,1.1,0.8,0.8,1.8,1000000,50
"development","infill__R06__rep03__n1000000__T50",10126,210006003,1.1,0.8,0.8,1.8,1000000,50
"development","infill__R07__rep01__n1000000__T50",10127,210007001,1.58,1.25,0.85,1.05,1000000,50
"development","infill__R07__rep02__n1000000__T50",10128,210007002,1.58,1.25,0.85,1.05,1000000,50
"development","infill__R07__rep03__n1000000__T50",10129,210007003,1.58,1.25,0.85,1.05,1000000,50
"development","infill__R08__rep01__n1000000__T50",10130,210008001,1.55,0.9,0.9,1.9,1000000,50
"development","infill__R08__rep02__n1000000__T50",10131,210008002,1.55,0.9,0.9,1.9,1000000,50
"development","infill__R08__rep03__n1000000__T50",10132,210008003,1.55,0.9,0.9,1.9,1000000,50
"development","infill__R09__rep01__n1000000__T50",10133,210009001,1.55,1,1.6,1.2,1000000,50
"development","infill__R09__rep02__n1000000__T50",10134,210009002,1.55,1,1.6,1.2,1000000,50
"development","infill__R09__rep03__n1000000__T50",10135,210009003,1.55,1,1.6,1.2,1000000,50
"development","infill__R10__rep01__n1000000__T50",10136,210010001,1.32,0.95,1.2,1.5,1000000,50
"development","infill__R10__rep02__n1000000__T50",10137,210010002,1.32,0.95,1.2,1.5,1000000,50
"development","infill__R10__rep03__n1000000__T50",10138,210010003,1.32,0.95,1.2,1.5,1000000,50
"development","infill__R11__rep01__n1000000__T50",10139,210011001,1.25,1.1,0.7,1.9,1000000,50
"development","infill__R11__rep02__n1000000__T50",10140,210011002,1.25,1.1,0.7,1.9,1000000,50
"development","infill__R11__rep03__n1000000__T50",10141,210011003,1.25,1.1,0.7,1.9,1000000,50
"development","infill__R12__rep01__n1000000__T50",10142,210012001,1.08,1.3,1,1.7,1000000,50
"development","infill__R12__rep02__n1000000__T50",10143,210012002,1.08,1.3,1,1.7,1000000,50
"development","infill__R12__rep03__n1000000__T50",10144,210012003,1.08,1.3,1,1.7,1000000,50
"development","infill__R01__rep01__n4000000__T50",10145,220001001,1.25,1,1.2,1.45,4000000,50
"development","infill__R01__rep02__n4000000__T50",10146,220001002,1.25,1,1.2,1.45,4000000,50
"development","infill__R01__rep03__n4000000__T50",10147,220001003,1.25,1,1.2,1.45,4000000,50
"development","infill__R02__rep01__n4000000__T50",10148,220002001,1.45,0.6,1.6,0.9,4000000,50
"development","infill__R02__rep02__n4000000__T50",10149,220002002,1.45,0.6,1.6,0.9,4000000,50
"development","infill__R02__rep03__n4000000__T50",10150,220002003,1.45,0.6,1.6,0.9,4000000,50
"development","infill__R03__rep01__n4000000__T50",10151,220003001,1.55,1.4,0.7,2.2,4000000,50
"development","infill__R03__rep02__n4000000__T50",10152,220003002,1.55,1.4,0.7,2.2,4000000,50
"development","infill__R03__rep03__n4000000__T50",10153,220003003,1.55,1.4,0.7,2.2,4000000,50
"development","infill__R04__rep01__n4000000__T50",10154,220004001,1.15,1.3,1.5,1.1,4000000,50
"development","infill__R04__rep02__n4000000__T50",10155,220004002,1.15,1.3,1.5,1.1,4000000,50
"development","infill__R04__rep03__n4000000__T50",10156,220004003,1.15,1.3,1.5,1.1,4000000,50
"development","infill__R05__rep01__n4000000__T50",10157,220005001,1.4,0.7,1.3,1,4000000,50
"development","infill__R05__rep02__n4000000__T50",10158,220005002,1.4,0.7,1.3,1,4000000,50
"development","infill__R05__rep03__n4000000__T50",10159,220005003,1.4,0.7,1.3,1,4000000,50
"development","infill__R06__rep01__n4000000__T50",10160,220006001,1.1,0.8,0.8,1.8,4000000,50
"development","infill__R06__rep02__n4000000__T50",10161,220006002,1.1,0.8,0.8,1.8,4000000,50
"development","infill__R06__rep03__n4000000__T50",10162,220006003,1.1,0.8,0.8,1.8,4000000,50
"development","infill__R07__rep01__n4000000__T50",10163,220007001,1.58,1.25,0.85,1.05,4000000,50
"development","infill__R07__rep02__n4000000__T50",10164,220007002,1.58,1.25,0.85,1.05,4000000,50
"development","infill__R07__rep03__n4000000__T50",10165,220007003,1.58,1.25,0.85,1.05,4000000,50
"development","infill__R08__rep01__n4000000__T50",10166,220008001,1.55,0.9,0.9,1.9,4000000,50
"development","infill__R08__rep02__n4000000__T50",10167,220008002,1.55,0.9,0.9,1.9,4000000,50
"development","infill__R08__rep03__n4000000__T50",10168,220008003,1.55,0.9,0.9,1.9,4000000,50
